Transaction Number, Hmnsu, Description, Payment Mode, Operation Type, Date, Formated Logical, csn, confirmed, processDate, value, receivedValue, voucherValue, atm, station, line, operation
62000000000000000905, undefined, Comum dinheiro,Dinheiro,sale,29/03/2023 19:53:35,277921527,277921527,true,29/03/2023 19:53:36,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
56000000000000000906, undefined, undefined,Dinheiro,sale,29/03/2023 19:54:25,2525071,2525071,true,29/03/2023 19:54:26,10,10,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
16500000000000000907, undefined, MEDIA DESCONHECIDO,Dinheiro,sale,31/03/2023 13:26:46,279531756,279531756,true,31/03/2023 13:26:53,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
56000000000000000908, undefined, undefined,Debito,sale,31/03/2023 19:32:01,2525179,2525179,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
16800000000000000909, undefined, undefined,Dinheiro,sale,03/04/2023 14:14:09,null,4,false,Invalid Date,0.1,0.1,undefined,null - 1,undefined,undefined,undefined,
16800000000000000912, undefined, undefined,Dinheiro,sale,03/04/2023 17:25:09,null,4,false,Invalid Date,0.12,0.12,undefined,null - 1,undefined,undefined,undefined,
16800000000000000914, undefined, undefined,Dinheiro,sale,04/04/2023 10:25:09,null,4,false,Invalid Date,0.15,0.15,undefined,null - 1,undefined,undefined,undefined,
16800000000000000915, undefined, undefined,Dinheiro,sale,04/04/2023 10:25:09,null,4,false,Invalid Date,0.2,0.2,undefined,null - 1,undefined,undefined,undefined,
16800000000000000916, undefined, undefined,Dinheiro,sale,04/04/2023 15:25:09,null,4,false,Invalid Date,0.25,0.25,undefined,null - 1,undefined,undefined,undefined,
16800000000000000917, undefined, undefined,Dinheiro,sale,04/04/2023 15:25:09,null,4,false,Invalid Date,0.35,0.35,undefined,null - 1,undefined,undefined,undefined,
34000000000000000918, 5, Restituicao,Debito,sale,21/04/2023 19:58:29,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000920, undefined, undefined,Dinheiro,sale,22/04/2023 14:13:06,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000921, undefined, undefined,Dinheiro,sale,22/04/2023 17:14:30,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000922, undefined, undefined,Dinheiro,sale,22/04/2023 17:17:20,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000923, undefined, undefined,Dinheiro,sale,22/04/2023 17:49:28,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000924, undefined, undefined,Dinheiro,sale,22/04/2023 17:58:06,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000925, undefined, undefined,Dinheiro,sale,22/04/2023 19:17:16,null,null,false,Invalid Date,5,5,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000926, undefined, undefined,Dinheiro,sale,22/04/2023 19:24:10,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000927, undefined, undefined,Dinheiro,sale,22/04/2023 19:28:39,null,null,false,Invalid Date,5,5,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000928, undefined, undefined,Dinheiro,sale,22/04/2023 19:39:20,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000929, undefined, undefined,Dinheiro,sale,22/04/2023 19:43:35,null,null,false,Invalid Date,5,5,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000930, undefined, QRCODE DESCONHECIDO,Debito,sale,22/04/2023 20:16:22,null,null,false,Invalid Date,110,110,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000931, 22, Comum dinheiro,Debito,sale,25/04/2023 18:30:32,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000932, 23, Comum dinheiro,Debito,sale,25/04/2023 18:32:28,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000933, 24, Comum dinheiro,Debito,sale,25/04/2023 18:35:40,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
21600000000000000934, undefined, QRCode Pré Normal,Abt,sale,25/04/2023 20:00:00,null,3924488,true,25/04/2023 21:10:00,4.4,4.4,undefined,null - 1,undefined,undefined,undefined,
34000000000000000935, 10000000, Comum dinheiro,Debito,sale,25/04/2023 19:15:03,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000936, 10000001, Comum dinheiro,Debito,sale,25/04/2023 20:07:06,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000938, 10000002, Comum dinheiro,Debito,sale,25/04/2023 20:07:48,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000939, 10000003, Comum dinheiro,Debito,sale,25/04/2023 20:08:43,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000940, 10000004, Comum dinheiro,Debito,sale,25/04/2023 20:09:12,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000941, 10000005, Comum dinheiro,Debito,sale,25/04/2023 20:09:37,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000942, 10000006, Comum dinheiro,Debito,sale,25/04/2023 20:10:04,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000943, 10000007, Comum dinheiro,Debito,sale,25/04/2023 20:10:28,null,null,false,Invalid Date,5,5,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000944, 10000008, Comum dinheiro,Debito,sale,25/04/2023 20:32:16,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000946, 10000009, Comum dinheiro,Debito,sale,25/04/2023 20:39:57,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000947, 10000010, Comum dinheiro,Debito,sale,25/04/2023 20:46:00,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000948, 10000011, Comum dinheiro,Debito,sale,25/04/2023 21:03:00,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000949, 10000012, Comum dinheiro,Debito,sale,25/04/2023 21:03:43,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000950, 10000013, Comum dinheiro,Debito,sale,25/04/2023 21:24:06,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000951, 10000014, Comum dinheiro,Debito,sale,25/04/2023 21:27:34,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000952, 10000015, Comum dinheiro,Debito,sale,25/04/2023 21:38:49,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000953, 10000016, Comum dinheiro,Debito,sale,25/04/2023 21:47:31,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000954, 10000017, Comum dinheiro,Debito,sale,25/04/2023 22:37:41,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000956, 10000018, Comum dinheiro,Debito,sale,25/04/2023 22:39:22,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000958, 10000019, Comum dinheiro,Debito,sale,25/04/2023 22:39:39,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000960, 10000020, Comum dinheiro,Debito,sale,25/04/2023 22:39:56,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000962, 10000021, Comum dinheiro,Debito,sale,25/04/2023 22:40:12,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000964, 10000022, Comum dinheiro,Dinheiro,sale,25/04/2023 22:41:18,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000965, 10000023, Comum dinheiro,Debito,sale,25/04/2023 22:42:06,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000966, 10000024, Comum dinheiro,Debito,sale,25/04/2023 22:42:28,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000968, 10000025, Comum dinheiro,Debito,sale,25/04/2023 22:52:06,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000970, 10000026, Comum dinheiro,Dinheiro,sale,25/04/2023 23:02:19,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000971, 10000027, Comum dinheiro,Debito,sale,25/04/2023 23:03:55,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000972, 10000028, Comum dinheiro,Debito,sale,25/04/2023 23:06:25,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000973, 10000029, Comum dinheiro,Debito,sale,25/04/2023 23:17:46,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000974, 10000030, Comum dinheiro,Dinheiro,sale,25/04/2023 23:18:54,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000975, 10000031, Comum dinheiro,Dinheiro,sale,25/04/2023 23:19:44,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000976, 10000032, Comum dinheiro,Dinheiro,sale,25/04/2023 23:20:13,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000977, 10000033, Comum dinheiro,Dinheiro,sale,25/04/2023 23:31:58,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000978, 10000034, Comum dinheiro,Dinheiro,sale,25/04/2023 23:35:38,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000979, 10000035, Comum dinheiro,Dinheiro,sale,25/04/2023 23:38:50,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000980, 10000036, Comum dinheiro,Dinheiro,sale,25/04/2023 23:43:05,null,null,false,Invalid Date,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000981, 10000037, Comum dinheiro,Dinheiro,sale,25/04/2023 23:43:35,null,null,true,25/04/2023 23:43:40,2,2,undefined,5 - 1,TESTE ATM,Grupo Terminal Level 2,Grupo Terminal Level 3,
34000000000000000982, 10000039, Comum dinheiro,Debito,sale,26/04/2023 12:46:21,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000983, 10000040, Comum dinheiro,Debito,sale,26/04/2023 12:55:01,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000984, 10000041, Comum dinheiro,Debito,sale,26/04/2023 12:55:48,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000985, 10000042, Comum dinheiro,Debito,sale,26/04/2023 12:56:18,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000986, 10000043, Comum dinheiro,Debito,sale,26/04/2023 12:56:52,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000987, 10000044, Comum dinheiro,Debito,sale,26/04/2023 13:02:01,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000988, 10000045, Comum dinheiro,Debito,sale,26/04/2023 13:03:03,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000989, 10000046, Comum dinheiro,Debito,sale,26/04/2023 13:03:34,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000990, 10000047, Comum dinheiro,Debito,sale,26/04/2023 13:07:08,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000991, 10000048, Comum dinheiro,Debito,sale,26/04/2023 13:20:29,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000992, 10000049, Comum dinheiro,Debito,sale,26/04/2023 13:22:30,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000993, 10000050, Comum dinheiro,Debito,sale,26/04/2023 13:22:59,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000994, 10000051, Comum dinheiro,Debito,sale,26/04/2023 13:23:39,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000995, 10000052, Comum dinheiro,Debito,sale,26/04/2023 13:27:26,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000996, 10000053, Comum dinheiro,Debito,sale,26/04/2023 13:28:44,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000997, 10000054, Comum dinheiro,Debito,sale,26/04/2023 13:32:04,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000998, 10000055, Comum dinheiro,Debito,sale,26/04/2023 13:34:57,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000000999, 10000056, Comum dinheiro,Debito,sale,26/04/2023 13:35:31,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001000, 10000057, Comum dinheiro,Debito,sale,26/04/2023 13:36:13,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001001, 10000058, Comum dinheiro,Debito,sale,26/04/2023 13:49:03,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001002, 10000059, Comum dinheiro,Debito,sale,26/04/2023 14:22:33,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001003, 10000060, Comum dinheiro,Debito,sale,26/04/2023 14:27:24,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001004, 10000061, Comum dinheiro,Debito,sale,26/04/2023 14:29:26,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001005, 10000062, Comum dinheiro,Debito,sale,26/04/2023 14:34:15,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001006, 10000063, Comum dinheiro,Debito,sale,26/04/2023 14:36:14,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001007, 10000064, Comum dinheiro,Debito,sale,26/04/2023 14:45:11,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001008, 10000065, Comum dinheiro,Debito,sale,26/04/2023 14:45:47,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001009, 10000066, Comum dinheiro,Debito,sale,26/04/2023 14:46:06,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001010, 10000067, Comum dinheiro,Debito,sale,26/04/2023 15:17:02,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001011, 10000068, Comum dinheiro,Debito,sale,26/04/2023 15:48:46,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001012, 10000069, Comum dinheiro,Debito,sale,26/04/2023 15:59:32,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001013, 10000070, Comum dinheiro,Debito,sale,26/04/2023 16:00:11,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001014, 10000071, Comum dinheiro,Debito,sale,26/04/2023 16:00:53,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001015, 10000072, Comum dinheiro,Dinheiro,sale,26/04/2023 16:01:29,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001016, 10000073, Comum dinheiro,Debito,sale,26/04/2023 16:03:06,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001017, 10000074, Comum dinheiro,Debito,sale,26/04/2023 16:03:25,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001018, 10000075, Comum dinheiro,Debito,sale,26/04/2023 16:05:09,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001019, 10000076, Comum dinheiro,Debito,sale,26/04/2023 16:05:31,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001020, 10000077, Comum dinheiro,Debito,sale,26/04/2023 16:05:47,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001021, 10000078, Comum dinheiro,Debito,sale,26/04/2023 16:07:54,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001022, 10000079, Comum dinheiro,Debito,sale,26/04/2023 16:09:15,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001023, 10000080, Comum dinheiro,Debito,sale,26/04/2023 16:10:58,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001024, 10000081, Comum dinheiro,Debito,sale,26/04/2023 16:11:33,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001025, 10000082, Comum dinheiro,Debito,sale,26/04/2023 16:12:42,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001026, 10000083, Comum dinheiro,Debito,sale,26/04/2023 16:24:37,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001027, 10000084, Comum dinheiro,Debito,sale,26/04/2023 16:25:07,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001028, 10000085, Comum dinheiro,Debito,sale,26/04/2023 16:25:29,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001029, 10000086, Comum dinheiro,Debito,sale,26/04/2023 16:27:53,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001030, 10000087, Comum dinheiro,Debito,sale,26/04/2023 16:40:37,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001031, 10000088, Comum dinheiro,Debito,sale,26/04/2023 16:41:07,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001032, 10000089, Comum dinheiro,Dinheiro,sale,26/04/2023 16:41:29,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001033, 10000090, Comum dinheiro,Debito,sale,26/04/2023 16:41:42,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001034, 10000091, Comum dinheiro,Debito,sale,26/04/2023 16:41:56,null,null,false,Invalid Date,50,50,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001035, 10000092, Comum dinheiro,Debito,sale,26/04/2023 16:42:13,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001036, 10000093, Comum dinheiro,Debito,sale,26/04/2023 16:45:37,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001037, 10000094, Comum dinheiro,Debito,sale,26/04/2023 17:40:17,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001038, 10000095, Comum dinheiro,Debito,sale,26/04/2023 17:42:01,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001039, 10000096, Comum dinheiro,Debito,sale,26/04/2023 17:50:05,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001040, 10000097, Comum dinheiro,Debito,sale,26/04/2023 17:58:22,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001041, 10000098, Comum dinheiro,Debito,sale,26/04/2023 18:00:30,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001042, 10000099, Comum dinheiro,Debito,sale,26/04/2023 18:01:23,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001043, 10000100, Comum dinheiro,Debito,sale,26/04/2023 18:36:07,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001044, 10000101, Comum dinheiro,Debito,sale,26/04/2023 18:37:21,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
34000000000000001045, 10000102, Comum dinheiro,Debito,sale,26/04/2023 19:44:50,null,null,false,Invalid Date,2,2,undefined,4 - 1,AEROPORTO,automação item,AEROPORTO,
